Title,Record Label,Release Date ,Rating
Benga - Future Funk,Benga Beats,Feb-16,1.7
Jamie XX - Far Nearer,Numbers,Jun-11,1.5
Boys Noize & Housemeister - Shizzo,Boysnoize Records,Mar-11,1.5
Domgue - Back From Buttopolis,Deteledub,Apr-11,1.5
Cassius - I <3 U So,Ed Banger Records,Mar-11,1.5
Manuel Tur feat. Holly Backler - Most of This Moment,Freerange Records,Jan-11,1.5
Skrillex - Scary Monsters and Nice Sprites,Mau5trap Recordings,Oct-10,1.5
;Underworld - Scribble,Underworldlive.com,Jun-10,1.5
Nick Curly - Series 1.3,CÌ©cille Records,Sep-09,1.5
Jerome Sydenham - My Pet Gorilla,Apotek,Jul-09,1.5
Ray Okpara - Loving Moonbuah,Drumpoet Community,Oct-08,1.5
M.A.N.D.Y. vs. Booka Shade - O Superman Remixes,Get Physical Music,Oct-08,1
Psychonauts - World Keeps Turning,Souvenir Music,May-08,1
Rusko - Gone 2 Far / 2 N A Q,Sub Soldiers,Mar-08,1
Dubfire - I Feel Speed,SCI+TEC Digital Audio,Dec-07,1.5
Dark Globe & Boy George - Atoms remixes,Global Underground,Nov-07,1
Adam Freeland - The Hate EP,Marine Parade,Dec-07,1.5
Marc Houle - Techno Vocals,M-nus,Sep-07,1
Dubfire - RibCage,Desolat,Sep-07,1.5
Pele & Shokh - Thumbs,Connaisseur Superieur,Sep-07,1.5
Turbo Crystal - French Girl EP,Tiny Sticks,Jun-07,1.5
Mihai Popoviciu - First Contact,Level Non Zero,Jun-07,1
Christian Smith & John Selway - Transit Time,Sino,Jun-07,1
Jean Michel Jarre - TŽo & TŽa,Warner Music (UK),May-07,1
Sascha Funke/Larsson - Camping 03,BPitch Control,Mar-07,1.5
Alexi Delano - What Is Control,Audiomatique Recordings,Feb-07,1.5
LBJ - Harmaa/Saqana,Botchit Breaks,Nov-06,1.5
Traffic Signs - Coming Down/Back On Crack,Traffic Signs,Oct-06,1.5
Baobinga & I.D. present Big Monster - The Machine/Jelly Roll,Fat! Records,Jul-06,1.5