Record Label,No. of Reviews,Average Rating,Median Rating
Kompakt,66,3.65,3.5
Hotflush Recordings,64,3.65,3.65
DFA Records,63,3.81,4
Rush Hour Music,60,3.89,4
Hyperdub,59,3.82,4
Aus Music,53,3.65,3.5
Crosstown Rebels,49,3.57,3.5
Ostgut Ton,49,3.74,4
Bedrock Records,45,4.06,4
R&S Records,44,3.75,4
Hypercolour,43,3.49,3.5
Spectral Sound,42,3.5,3.5
Delsin,41,3.79,4
Ninja Tune,41,3.64,3.5
Planet Mu,41,3.71,3.8
Turbo Recordings,41,3.47,3.5
Get Physical Music,40,3.42,3.5
Running Back,39,3.79,3.8
Rekids,37,3.71,3.7
Warp Records,37,3.53,3.5